     #Energy       W_all      Mo_all      Rh_all      Hf_all
   -75.13073     0.00000     0.00000     0.00000     0.00000
   -75.12073     0.00000     0.00000     0.00000     0.00000
   -75.10973     0.00000     0.00000     0.00000     0.00000
   -75.09873     0.00000     0.00000     0.00000     0.00000
   -75.08773     0.00000     0.00000     0.00000     0.00000
   -75.07673     0.00000     0.00000     0.00000     0.00000
   -75.06573     0.00000     0.00000     0.00000     0.00000
   -75.05573     0.00000     0.00000     0.00000     0.00000
   -75.04473     0.00000     0.00000     0.00000     0.00000
   -75.03373     0.00000     0.00000     0.00000     0.00000
   -75.02273     0.00000     0.00000     0.00000     0.00000
   -75.01173     0.00000     0.00000     0.00000     0.00000
   -75.00073     0.00000     0.00000     0.00000     0.00000
   -74.99073     0.00000     0.00000     0.00000     0.00000
   -74.97973     0.00000     0.00000     0.00000     0.00000
   -74.96873     0.00000     0.00000     0.00000     0.00000
   -74.95773     0.00000     0.00000     0.00000     0.00000
   -74.94673     0.00000     0.00000     0.00000     0.00000
   -74.93673     0.00000     0.00000     0.00000     0.00000
   -74.92573     0.00000     0.00000     0.00000     0.00000
   -74.91473     0.00000     0.00000     0.00000     0.00000
   -74.90373     0.00000     0.00000     0.00000     0.00000
   -74.89273     0.00000     0.00000     0.00000     0.00000
   -74.88173     0.00000     0.00000     0.00000     0.00000
   -74.87173     0.00000     0.00000     0.00000     0.00000
   -74.86073     0.00000     0.00000     0.00000     0.00000
   -74.84973     0.00000     0.00000     0.00000     0.00000
   -74.83873     0.00000     0.00000     0.00000     0.00000
   -74.82773     0.00000     0.00000     0.00000     0.00000
   -74.81673     0.00000     0.00000     0.00000     0.00000
   -74.80673     0.00000     0.00000     0.00000     0.00000
   -74.79573     0.00000     0.00000     0.00000     0.00000
   -74.78473     0.00000     0.00000     0.00000     0.00000
   -74.77373     0.00000     0.00000     0.00000     0.00000
   -74.76273     0.00000     0.00000     0.00000     0.00000
   -74.75273     0.00000     0.00000     0.00000     0.00000
   -74.74173     0.00000     0.00000     0.00000     0.00000
   -74.73073     0.00000     0.00000     0.00000     0.00000
   -74.71973     0.00000     0.00000     0.00000     0.00000
   -74.70873     0.00000     0.00000     0.00000     0.00000
   -74.69773     0.00000     0.00000     0.00000     0.00000
   -74.68773     0.00000     0.00000     0.00000     0.00000
   -74.67673     0.00000     0.00000     0.00000     0.00000
   -74.66573     0.00000     0.00000     0.00000     0.00000
   -74.65473     0.00000     0.00000     0.00000     0.00000
   -74.64373     0.00000     0.00000     0.00000     0.00000
   -74.63273     0.00000     0.00000     0.00000     0.00000
   -74.62273     0.00000     0.00000     0.00000     0.00000
   -74.61173     0.00000     0.00000     0.00000     0.00000
   -74.60073     0.00000     0.00000     0.00000     0.00000
   -74.58973     0.00000     0.00000     0.00000     0.00000
   -74.57873     0.00000     0.00000     0.00000     0.00000
   -74.56773     0.00000     0.00000     0.00000     0.00000
   -74.55773     0.00000     0.00000     0.00000     0.00000
   -74.54673     0.00000     0.00000     0.00000     0.00000
   -74.53573     0.00000     0.00000     0.00000     0.00000
   -74.52473     0.00000     0.00000     0.00000     0.00000
   -74.51373     0.00000     0.00000     0.00000     0.00000
   -74.50373     0.00000     0.00000     0.00000     0.00000
   -74.49273     0.00000     0.00000     0.00000     0.00000
   -74.48173     0.00000     0.00000     0.00000     0.00000
   -74.47073     0.00000     0.00000     0.00000     0.00000
   -74.45973     0.00000     0.00000     0.00000     0.00000
   -74.44873     0.00000     0.00000     0.00000     0.00000
   -74.43873     0.00000     0.00000     0.00000     0.00000
   -74.42773     0.00000     0.00000     0.00000     0.00000
   -74.41673     0.00000     0.00000     0.00000     0.00000
   -74.40573     0.00000     0.00000     0.00000     0.00000
   -74.39473     0.00000     0.00000     0.00000     0.00000
   -74.38373     0.00000     0.00000     0.00000     0.00000
   -74.37373     0.00000     0.00000     0.00000     0.00000
   -74.36273     0.00000     0.00000     0.00000     0.00000
   -74.35173     0.00000     0.00000     0.00000     0.00000
   -74.34073     0.00000     0.00000     0.00000     0.00000
   -74.32973     0.00000     0.00000     0.00000     0.00000
   -74.31973     0.00000     0.00000     0.00000     0.00000
   -74.30873     0.00000     0.00000     0.00000     0.00000
   -74.29773     0.00000     0.00000     0.00000     0.00000
   -74.28673     0.00000     0.00000     0.00000     0.00000
   -74.27573     0.00000     0.00000     0.00000     0.00000
   -74.26473     0.00000     0.00000     0.00000     0.00000
   -74.25473     0.00000     0.00000     0.00000     0.00000
   -74.24373     0.00000     0.00000     0.00000     0.00000
   -74.23273     0.00000     0.00000     0.00000     0.00000
   -74.22173     0.00000     0.00000     0.00000     0.00000
   -74.21073     0.00000     0.00000     0.00000     0.00000
   -74.19973     0.00000     0.00000     0.00000     0.00000
   -74.18973     0.00000     0.00000     0.00000     0.00000
   -74.17873     0.00000     0.00000     0.00000     0.00000
   -74.16773   184.29149     0.00840     0.00090     0.00001
   -74.15673     0.00000     0.00000     0.00000     0.00000
   -74.14573     0.00000     0.00000     0.00000     0.00000
   -74.13473     0.00000     0.00000     0.00000     0.00000
   -74.12473   184.20561     0.00465     0.00110     0.00008
   -74.11373     0.00000     0.00000     0.00000     0.00000
   -74.10273  3756.11714     0.15366     0.01514     0.00130
   -74.09173  1198.84571     0.02492     0.00706     0.00054
   -74.08073    30.72502     0.00058     0.00019     0.00001
   -74.07073     0.00000     0.00000     0.00000     0.00000
   -74.05973     0.00000     0.00000     0.00000     0.00000
   -74.04873     0.00000     0.00000     0.00000     0.00000
   -74.03773     0.00000     0.00000     0.00000     0.00000
   -74.02673     0.00000     0.00000     0.00000     0.00000
